id,d,n,m,K,ε,time,exact,sqerror,optval,dist_after_rounding,ν
1,2,4,3,2,0.4,8.276290839,true,2.7752540173829728e-17,0.03999999999218007,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
2,2,4,3,2,0.4,8.111816875,true,2.775254017329283e-17,0.03999999999218046,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
3,2,4,3,2,0.4,7.624996826,true,2.77525394982782e-17,0.039999999992179736,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
4,2,4,3,2,0.4,5.936280773,true,5.027161638843894e-12,0.0399999162422311,0.039999999566622806,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
5,2,4,3,2,0.4,6.395563332,true,5.027161638843894e-12,0.039999916242231426,0.039999999566622806,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
6,2,4,3,2,0.4,8.658530407,true,2.7752540848844357e-17,0.039999999992179555,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
7,2,4,3,2,0.4,8.452866641,true,2.775254017329283e-17,0.03999999999217928,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
8,2,4,3,2,0.4,8.443599205,true,2.77525394982782e-17,0.039999999992179174,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
9,2,4,3,2,0.4,6.813504235,true,5.027161638843894e-12,0.03999991624223054,0.039999999566622806,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
10,2,4,3,2,0.4,6.541372504,true,5.027161638843894e-12,0.03999991624223115,0.039999999566622806,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
11,2,4,3,2,0.4,7.409867369,true,2.775254017329283e-17,0.03999999999217976,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
12,2,4,3,2,0.4,6.204954235,true,5.027161638843894e-12,0.0399999162422309,0.039999999566622806,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
13,2,4,3,2,0.4,8.353908991,true,2.7752540173829728e-17,0.03999999999217904,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
14,2,4,3,2,0.4,6.944229203,true,5.027161638843894e-12,0.03999991624223137,0.039999999566622806,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
15,2,4,3,2,0.4,8.618207021,true,2.7752540173829728e-17,0.03999999999217868,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
16,2,4,3,2,0.4,6.280580227,true,5.027161638843894e-12,0.03999991624223165,0.039999999566622806,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
17,2,4,3,2,0.4,8.101587098,true,2.7752540848844357e-17,0.03999999999218018,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
18,2,4,3,2,0.4,7.910471694,true,2.77525394982782e-17,0.03999999999218051,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
19,2,4,3,2,0.4,8.154844977,true,2.77525394982782e-17,0.03999999999217979,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
20,2,4,3,2,0.4,6.461924265,true,5.027161638843894e-12,0.039999916242230774,0.039999999566622806,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
21,2,4,3,2,0.4,6.634790532,true,5.027161638843894e-12,0.03999991624223087,0.039999999566622806,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
22,2,4,3,2,0.4,8.016487886,true,2.7752540173829728e-17,0.03999999999217882,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
23,2,4,3,2,0.4,6.717941345,true,5.027161638843894e-12,0.03999991624223109,0.039999999566622806,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
24,2,4,3,2,0.4,7.973984974,true,2.7752540173829728e-17,0.0399999999921794,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
25,2,4,3,2,0.4,5.850632093,true,5.027161638843894e-12,0.039999916242231204,0.039999999566622806,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
26,2,4,3,2,0.4,6.594479975,true,5.027161638843894e-12,0.03999991624223098,0.039999999566622806,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
27,2,4,3,2,0.4,8.706780439,true,2.775254017329283e-17,0.039999999992179854,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
28,2,4,3,2,0.4,8.342462414,true,2.7752540173829728e-17,0.0399999999921799,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
29,2,4,3,2,0.4,6.711817239,true,5.027161638843894e-12,0.0399999162422317,0.039999999566622806,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
30,2,4,3,2,0.4,7.043206487,true,5.027161638843894e-12,0.03999991624223076,0.039999999566622806,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
31,2,4,3,2,0.4,6.892858658,true,5.027161638843894e-12,0.03999991624223259,0.039999999566622806,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.2]
32,2,4,3,2,0.4,8.257248745,true,2.77525394982782e-17,0.03999999999217974,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
33,2,4,3,2,0.4,7.653303784,true,2.77525394982782e-17,0.039999999992179625,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
34,2,4,3,2,0.4,8.354428545,true,2.77525394982782e-17,0.03999999999217929,0.04000000000248899,[0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; 0.0; -0.2]
